item_name,item_id
Delicate Egg Picking Glove,9001837
Egg Basket Teleport Scroll,9001835
Magical Rabbit Egg,9001834
Thundering Berserker's Peace,9001823
Thundering Berserker's Plate,9001822
Thundering Berserker's Fangs,9001821
Fledgling Phoenix (Vanity),9001820
Fledgling Phoenix (Spirit),9001819
Fledgling Phoenix (Kittenish),9001818
Copy of Conker's Cube (Kittenish),9001817
Fledgling Phoenix's Soul Fragment,9001816
Scroll: Sakura Speedster (Event),9001815
Scroll: Sakura Speedster,9001814
Hellwraith Kirin,9001813
Mistwraith Kirin,9001812
Gloomwraith Kirin,9001811
Image Item: Merciless Sleuth's Steamgoggles,9001802
Image Item: Sleuth's Steamgoggles,9001801
Image Item: Aranzeb's Gemfast Circlet,9001800
Image Item: Gemfast Circlet,9001799
Image Item: Tempest Seastorm Tricorne,9001798
Image Item: Seastorm Tricorne,9001797
Amberwraith Kirin,9001796
Azurewraith Kirin,9001795
Image Item: Dark Watcher Cloak,9001794
Glorpwraith Kirin,9001793
Icewraith Kirin,9001792
Abysswraith Kirin,9001791
Grovewraith Kirin,9001790
Goldwraith Kirin,9001789
Bloomwraith Kirin,9001788
Cow-Splash Teleport Scroll,9001598
Hellwraith Kirin,9001597
Mistwraith Kirin,9001596
Gloomwraith Kirin,9001595
Hellwraith Kirin Ticket,9001593
Mistwraith Kirin Ticket,9001592
Gloomwraith Kirin Ticket,9001591
Reinforced Ironclad Plating,9001589
Scroll: Reinforced Ironclad,9001588
Image Item: Sapphire Dancing Queen,9001543
Image Item: Hellfire Dancing Queen,9001542
Image Item: Dancing Queen's Ruin,9001541
Image Item: Dancing Queen,9001540
Image Item: Sapphire Fangbane,9001539
Image Item: Fangbane,9001538
Image Item: Sapphire Watcher's Dagger,9001537
Image Item: Sinister Watcher's Dagger,9001536
Image Item: Dark Watcher's Dagger,9001535
Image Item: Faded Dark Watcher's Dagger,9001534
Image Item: Sapphire Void Leader Dagger,9001533
Image Item: Screaming Void Leader Dagger,9001532
Image Item: Sinister Void Leader Dagger,9001531
Image Item: Void Leader Dagger,9001530
Image Item: Sapphire Skull Splitter,9001529
Image Item: Haunted Skull Splitter,9001528
Image Item: Abyssal Skull Splitter,9001527
Image Item: Skull Splitter,9001526
Image Item: Sapphire Veiled Terror,9001525
Image Item: Corrupted Veiled Terror,9001524
Image Item: Veiled Terror,9001523
Image Item: Faded Veiled Terror,9001522
Image Item: Sapphire Pristine Wit,9001521
Image Item: Harbinger's Pristine Wit,9001520
Image Item: Corrupted Wit,9001519
Image Item: Pristine Wit,9001518
Image Item: Sapphire Demon's Heart,9001517
Image Item: Immortal Demon's Heart,9001516
Image Item: Undying Demon's Heart,9001515
Image Item: Demon's Heart,9001514
Image Item: Sapphire Soulripper,9001513
Image Item: Screaming Soulripper,9001512
Image Item: Soulripper,9001511
Image Item: Faded Soulripper,9001510
Image Item: Sapphire Blooddrinker Blossom,9001509
Image Item: Sated Blooddrinker Blossom,9001508
Image Item: Blooddrinker Blossom,9001507
Image Item: Faded Blooddrinker Blossom,9001506
Image Item: Sapphire Demon's Charm,9001505
Image Item: Alluring Demon's Charm,9001504
Image Item: Tempting Demon's Charm,9001503
Image Item: Demon's Charm,9001502
Image Item: Sirothe's Hatred,9001501
Thundering Berserker's Claw,9001500
