craft_id,output_name,output_amount,req_labor,materials
9001234,Jujube Sparkling Wine,× 50,250,"[{""name"": ""Tangy Liquor"", ""amount"": ""50""}, {""name"": ""Orchard Puree"", ""amount"": ""50""}, {""name"": ""Jujube"", ""amount"": ""50""}, {""name"": ""Honey"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""1800""}, {""name"": ""Mysterious Herb Wine"", ""amount"": ""50""}]"
9001233,Tangy Liquor,× 50,200,"[{""name"": ""Bubble Tea Liquor"", ""amount"": ""50""}, {""name"": ""Orchard Puree"", ""amount"": ""50""}, {""name"": ""Cherry"", ""amount"": ""30""}, {""name"": ""Orange"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""500""}]"
9001232,Bubble Tea Liquor,× 50,150,"[{""name"": ""Honey Liquor"", ""amount"": ""50""}, {""name"": ""Orchard Puree"", ""amount"": ""50""}, {""name"": ""Apple"", ""amount"": ""50""}, {""name"": ""Coin"", ""amount"": ""300""}]"
9001231,Honey Liquor,× 50,100,"[{""name"": ""Fruit Liquor"", ""amount"": ""50""}, {""name"": ""Orchard Puree"", ""amount"": ""40""}, {""name"": ""Honey"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""100""}]"
9001230,Jujube Juice,× 50,250,"[{""name"": ""Tangy Soda"", ""amount"": ""50""}, {""name"": ""Orchard Puree"", ""amount"": ""50""}, {""name"": ""Jujube"", ""amount"": ""50""}, {""name"": ""Honey"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""1800""}, {""name"": ""Red Wine Vinegar"", ""amount"": ""50""}]"
9001229,Tangy Soda,× 50,200,"[{""name"": ""Bubble Tea"", ""amount"": ""50""}, {""name"": ""Orchard Puree"", ""amount"": ""50""}, {""name"": ""Banana"", ""amount"": ""30""}, {""name"": ""Pomegranate"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""500""}]"
9001228,Bubble Tea,× 50,150,"[{""name"": ""Honey Mead"", ""amount"": ""50""}, {""name"": ""Orchard Puree"", ""amount"": ""50""}, {""name"": ""Strawberry"", ""amount"": ""50""}, {""name"": ""Coin"", ""amount"": ""300""}]"
9001227,Honey Mead,× 50,100,"[{""name"": ""Fruit Punch"", ""amount"": ""50""}, {""name"": ""Orchard Puree"", ""amount"": ""40""}, {""name"": ""Honey"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""100""}]"
9001226,Hearty Soup,× 100,250,"[{""name"": ""Fragrant Soup"", ""amount"": ""100""}, {""name"": ""Ground Grain"", ""amount"": ""300""}, {""name"": ""Jujube"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""2200""}]"
9001225,Fragrant Soup,× 100,200,"[{""name"": ""Sweet Soup"", ""amount"": ""100""}, {""name"": ""Ground Grain"", ""amount"": ""300""}, {""name"": ""Rosemary"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""1400""}]"
9001224,Sweet Soup,× 100,150,"[{""name"": ""Vegetable Soup"", ""amount"": ""100""}, {""name"": ""Ground Grain"", ""amount"": ""300""}, {""name"": ""Pumpkin"", ""amount"": ""50""}, {""name"": ""Coin"", ""amount"": ""800""}]"
9001223,Vegetable Soup,× 100,100,"[{""name"": ""Whole Grain Soup"", ""amount"": ""100""}, {""name"": ""Ground Grain"", ""amount"": ""300""}, {""name"": ""Tomato"", ""amount"": ""100""}, {""name"": ""Coin"", ""amount"": ""200""}]"
9001222,Whole Grain Soup,× 100,50,"[{""name"": ""Savory Soup"", ""amount"": ""100""}, {""name"": ""Ground Grain"", ""amount"": ""300""}, {""name"": ""Barley"", ""amount"": ""200""}, {""name"": ""Coin"", ""amount"": ""100""}]"
9001221,Deluxe Sandwich,× 100,250,"[{""name"": ""Simple Sandwich"", ""amount"": ""100""}, {""name"": ""Ground Grain"", ""amount"": ""100""}, {""name"": ""Moringa Fruit"", ""amount"": ""10""}, {""name"": ""Coin"", ""amount"": ""2200""}]"
9001220,Simple Sandwich,× 100,200,"[{""name"": ""Sweet Bread"", ""amount"": ""100""}, {""name"": ""Ground Grain"", ""amount"": ""100""}, {""name"": ""Strawberry"", ""amount"": ""30""}, {""name"": ""Coin"", ""amount"": ""1400""}]"
9001219,Sweet Bread,× 100,150,"[{""name"": ""Vegetable Bread"", ""amount"": ""100""}, {""name"": ""Ground Grain"", ""amount"": ""100""}, {""name"": ""Yam"", ""amount"": ""60""}, {""name"": ""Coin"", ""amount"": ""800""}]"
9001218,Vegetable Bread,× 100,100,"[{""name"": ""Whole Grain Bread"", ""amount"": ""100""}, {""name"": ""Ground Grain"", ""amount"": ""50""}, {""name"": ""Garlic"", ""amount"": ""80""}, {""name"": ""Coin"", ""amount"": ""200""}]"
9001217,Whole Grain Bread,× 100,50,"[{""name"": ""Hardtack"", ""amount"": ""100""}, {""name"": ""Ground Grain"", ""amount"": ""50""}, {""name"": ""Barley"", ""amount"": ""100""}, {""name"": ""Coin"", ""amount"": ""100""}]"
9001216,Assorted Sirloin,× 30,150,"[{""name"": ""Assorted Tenderloin"", ""amount"": ""30""}, {""name"": ""Trimmed Meat"", ""amount"": ""50""}, {""name"": ""Ground Spices"", ""amount"": ""50""}, {""name"": ""Yam"", ""amount"": ""50""}, {""name"": ""Turkey Meat"", ""amount"": ""50""}, {""name"": ""Coin"", ""amount"": ""120""}]"
9001215,Assorted Tenderloin,× 30,100,"[{""name"": ""Assorted Meatballs"", ""amount"": ""30""}, {""name"": ""Trimmed Meat"", ""amount"": ""50""}, {""name"": ""Chopped Produce"", ""amount"": ""50""}, {""name"": ""Onion"", ""amount"": ""50""}, {""name"": ""Chicken Meat"", ""amount"": ""50""}, {""name"": ""Coin"", ""amount"": ""60""}]"
